"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"SS1. Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-01-07","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Intervals/PDLC 1500y","Swim","(You may substitute a masters swim workout.) WU: 100 swim easy, (10 sec rest), 50 moderately fast, (10 sec rest), 100 swim moderate, (10 sec rest), 50 swim moderately fast, (10 sec rest), 100 swim build speed, (10 sec), 50 swim fast. MS: For the first set decrease times with each work interval. All aerobic—easy breathing. 4 x 100 moderate (10 sec rest between). Rest 2 minutes. 300 slow and easy. Form! 6 x 25 relaxed speed (15 sec). CD: 200 easy swim. Total: 1500 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.423551777733697","1417.32006835938","2026-01-08","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC. Swim abbreviations: WU = warm-up, MS = main set, CD = cool down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Isolated Leg Training 1h RPE","Bike","Isolated Leg Training (ILT) on indoor trainer. After warm-up, alternate 20-60 seconds with 1 leg/foot only—the other on a chair. Get a total of 7-10 minutes of ILT on each leg in this workout. Alternate legs as you feel like it. Comfortably high cadence. Focus on eliminating the dead spot at the top of your stroke by pushing your toes forward in your shoes at the top. Since you're training the nervous system, heart rate and power are not important here. Effort should remain low (about 4-5 on 0-10 RPE scale).","1","","2026-01-09","Note that the daily workouts are in no particular order. They may be done in the order that best suits your lifestyle and energy demands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AA, 3-4 sets","Strength","Strength: After warm-up on a stationary bike, treadmill, or other, do 3-4 sets of Anatomical Adaptation (AA) phase. Cool down with 5-10 minutes of spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","1","","2026-01-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Continuous Swim 2000y","Swim","(You may substitute a masters swim workout.) WU: 5-minute swim with your choice of drills and easy swims. Drills: Focus on how well you do the drills, not on how fast. Set #1 scull front, set #2 scull chest, set #3 scull back. (How to scull: https://www.youtube.com/watch?v=zC7T53Ncjek) 3 x (4 x 50 done non-stop as 25 scull, 25 good form emphasis). MS: Using the “feel” for the water you just developed: 2 x 500 swim (1-minute rest between) at moderate/aerobic effort. Kick 400 moderate effort. CD: 5 minutes of easy swimming. Total: 2000+ OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each). See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","0.473290659586589","1625.28002929688","2026-01-10","Note that the daily workouts are in no particular order. They may be done in the order that best suits your lifestyle and energy demands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","(This may be done outdoors or on a treadmill.) Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-01-10","Note that the middle portion of this workout calls for a heart rate of 85% of LTHR. Disregard that and instead aim for a heart rate which is 30 bpm below your LTHR (lowest heart rate in z5) plus or minus 2 bpm. So if your LTHR is 150, the goal heart rate range for the mid portion would be 118-122.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Pedaling Skills Drills 1.5h Power","Bike","Pedaling Skills. Ride in power zones 1-2 on a mostly flat course (or indoor trainer). Include pedaling drills such as: a) drive pedal straight forward from 9 to 3 o'clock, b) pedal with foot against the top inside of your shoe trying to avoid touching the insole, c) try to touch toes to end of your shoes at start of downstroke. Stay as relaxed as you can while doing these drills. No tension in feet, legs, hands, etc.","1.5","","2026-01-11","Ride only 1 hour if indoors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AA, 3-4 sets","Strength","Strength: After warm-up on a stationary bike, treadmill, or other, do 3-4 sets of Anatomical Adaptation (AA) phase. Cool down with 5-10 minutes of spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","1","","2026-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Descending 100s/PDLC 1700y","Swim","(You may substitute a masters swim workout.) WU: 300 swim easy. 6 x 50 done as 25 drill (your choice) and 25 easy swim. MS: 5 x 100 (20 sec rest). #1 is easy. Descending (faster) time for each interval. Rest 1-2 minutes. 2 x 100 (20 sec) each same pace as #5 of first set. 200 kick steady effort. CD: 200 easy swim. Total: 1700 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.473551777733697","1666.47998046875","2026-01-13","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. 5 Basic Strides 45min RPE","Run","Warm up for about 20 minutes. Then run 5x20 seconds fast on a soft, gentle downhill (such as on grass in a park or other soft surface). Run at approximately 400m race pace (RPE 9, or about pace zone 5b)—not quite all-out speed. Focus on run technique as discussed and shown in the drawings in Chapter 12 of The Triathlete’s Training Bible, 4th edition. Hold back a little on each 20-second stride. You’re working on technique—not speed. Stay relaxed on each stride. Walk (yes, ""walk"") back to start point for each recovery. Run easily to cool down to complete the planned workout duration.","0.75","","2026-01-13","(This is best outdoors but may be done on a treadmill.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-01-14","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","This may be done outdoors or on a treadmill. Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-01-14","Note that the middle portion of this workout calls for a heart rate of 85% of LTHR. Disregard that and instead aim for a heart rate that is 30 bpm below your LTHR (lowest heart rate in z5) plus or minus 2 bpm. So if your LTHR is 150, the goal heart rate range for the mid portion would be 118-122.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Isolated Leg Training 1h RPE","Bike","Isolated Leg Training (ILT) on indoor trainer. After warm-up, alternate 20-60 seconds with 1 leg/foot only—the other on a chair. Get a total of 7-10 minutes of ILT on each leg in this workout. Alternate legs as you feel like it. Comfortably high cadence. Focus on eliminating the dead spot at the top of your stroke by pushing your toes forward in your shoes at the top. Since you're training the nervous system, heart rate and power are not important here. Effort should remain low (about 4-5 on 0-10 RPE scale).","1","","2026-01-14","Note that the daily workouts are in no particular order. They may be done in the order that best suits your lifestyle and energy demands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Descending 100s/PDLC 1700y","Swim","(You may substitute a masters swim workout.) WU: 300 swim easy. 6 x 50 done as 25 drill (your choice) and 25 easy swim. MS: 5 x 100 (20 sec rest). #1 is easy. Descending (faster) time for each interval. Rest 1-2 minutes. 2 x 100 (20 sec) each same pace as #5 of first set. 200 kick steady effort. CD: 200 easy swim. Total: 1700 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.473551777733697","1666.47998046875","2026-01-15","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AA, 3-4 sets","Strength","Strength: After warm-up on a stationary bike, treadmill, or other, do 3-4 sets of Anatomical Adaptation (AA) phase. Cool down with 5-10 minutes of spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","1","","2026-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Isolated Leg Training 1h RPE","Bike","Isolated Leg Training (ILT) on indoor trainer. After warm-up, alternate 20-60 seconds with 1 leg/foot only—the other on a chair. Get a total of 7-10 minutes of ILT on each leg in this workout. Alternate legs as you feel like it. Comfortably high cadence. Focus on eliminating the dead spot at the top of your stroke by pushing your toes forward in your shoes at the top. Since you're training the nervous system, heart rate and power are not important here. Effort should remain low (about 4-5 on 0-10 RPE scale).","1","","2026-01-16","Note that the daily workouts are in no particular order. They may be done in the order that best suits your lifestyle and energy demands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. 200s Variable Pace 2350y","Swim","(You may substitute a masters swim workout.) WU: Build effort on each rep. 100 swim, 50 drill (your choice), 100 swim, 50 drill, 100 swim. MS: Each numbered set is done non-stop as a 200. #1—100 easy, 50 mod, 50 fast (10”). #2—50 easy, 100 mod, 50 fast (20”). #3—50 easy, 50 mod, 100 fast (30”). #4—100 fast, 50 easy, 50 mod (20”). #5—50 fast, 100 easy, 50 mod (10”). #6—50 fast, 50 easy, 100 mod (60”). Repeat #1, 2, 3. CD: 150 easy with drills. Total: 2350 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.547222222222222","2148.84008789063","2026-01-17","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1.25h (50min) HR+Pace","Run","This may be done outdoors or on a treadmill. Warm up 15 minutes. Then on a mostly flat course, run 50 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1.25","","2026-01-17","Note that the middle portion of this workout calls for a heart rate of 85% of LTHR. Disregard that and instead aim for a heart rate that is 30 bpm below your LTHR (lowest heart rate in z5) plus or minus 2 bpm. So if your LTHR is 150, the goal heart rate range for the mid portion would be 118-122.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Pedaling Skills Drills 1.5h Power","Bike","Pedaling Skills. Ride in power zones 1-2 on a mostly flat course (or indoor trainer). Include pedaling drills such as: a) drive pedal straight forward from 9 to 3 o'clock, b) pedal with foot against the top inside of your shoe trying to avoid touching the insole, c) try to touch toes to end of your shoes at start of downstroke. Stay as relaxed as you can while doing these drills. No tension in feet, legs, hands, etc.","1.5","","2026-01-18","Ride only 1 hour if indoors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MT, 3-4 sets","Strength","Strength: After warm-up, do 3-4 sets of MT—10-15 reps with heavier loads than in AA. Cool down 5-10 minutes by spinning. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","1","","2026-01-19","This is the next, slightly more advanced phase of strength training. If you feel you are not quite ready for this, continue with the previous phase until ready.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. Moderate 100s 1900y","Swim","(You may substitute a masters swim workout.) WU: All easy. 100 swim, 100 drill (your choice), 100 pull buoy, 100 swim. MS: 3 x 100 mod (10 sec rest). 1-min rest. 3 x 100 mod (10 sec). 1-min rest. 3 x 100 mod (10 sec). 4 x 75 (20 sec) done as 25 build, 25 fast, 25 easy. CD: 300 easy swim. Total: 1900 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.378250221676297","1188.71997070313","2026-01-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. 8 Basic Strides 45min RPE","Run","Warm up for about 20 minutes. Then run 8x20 seconds fast on a soft, gentle downhill (such as on grass in a park or other soft surface). Run at approximately 400m race pace (RPE 9, or about pace zone 5b)—not quite all-out speed. Focus on run technique as discussed and shown in the drawings in Chapter 12 of The Triathlete’s Training Bible, 4th edition. Hold back a little on each 20-second stride. You’re working on technique—not speed. Stay relaxed on each stride. Walk (yes, ""walk"") back to start point for each recovery. Run easily to cool down to complete the planned workout duration.","0.75","","2026-01-20","(This is best outdoors but may be done on a treadmill.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. PDLC Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-01-21","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","(This may be done outdoors or on a treadmill.) Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-01-21","Note that the middle portion of this workout calls for a heart rate of 85% of LTHR. Disregard that and instead aim for a heart rate that is 30 bpm below your LTHR (lowest heart rate in z5) plus or minus 2 bpm. So if your LTHR is 150, the goal heart rate range for the mid portion would be 118-122.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Isolated Leg Training 1h RPE","Bike","Isolated Leg Training (ILT) on indoor trainer. After warm-up, alternate 20-60 seconds with 1 leg/foot only—the other on a chair. Get a total of 7-10 minutes of ILT on each leg in this workout. Alternate legs as you feel like it. Comfortably high cadence. Focus on eliminating the dead spot at the top of your stroke by pushing your toes forward in your shoes at the top. Since you're training the nervous system, heart rate and power are not important here. Effort should remain low (about 4-5 on 0-10 RPE scale).","1","","2026-01-21","Note that the daily workouts are in no particular order. They may be done in the order that best suits your lifestyle and energy demands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Paddles-Fins/PDLC 1700y","Swim","(You may substitute a masters swim workout.) WU: 200 swim. 100 kick. 4 x 100 done as 25 drill (your choice), 25 R arm, 25 L arm, 25 swim. MS: 6 x 100 (20 sec) alternating 100 paddles and 100 fins. 300 swim moderate. CD: 100 easy swim. Total: 1700 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.442222222222222","1554.47998046875","2026-01-22","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-01-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
